"Notes"	"ICD Chapter"	"ICD Chapter Code"	"ICD Sub-Chapter"	"ICD Sub-Chapter Code"	"Cause of death"	"Cause of death Code"	Deaths	Population	Crude Rate
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	"Oesophagitis"	"K20"	14	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	"Gastro-oesophageal reflux disease with oesophagitis"	"K21.0"	3	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	"Gastro-oesophageal reflux disease without oesophagitis"	"K21.9"	29	83256835	0.0
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	"Achalasia of cardia"	"K22.0"	7	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	"Ulcer of oesophagus"	"K22.1"	16	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	"Oesophageal obstruction"	"K22.2"	6	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	"Perforation of oesophagus"	"K22.3"	21	83256835	0.0
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	"Dyskinesia of oesophagus"	"K22.4"	5	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	"Gastro-oesophageal laceration-haemorrhage syndrome"	"K22.6"	12	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	"Barrett esophagus"	"K22.7"	3	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	"Other specified diseases of oesophagus"	"K22.8"	14	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	"Disease of oesophagus, unspecified"	"K22.9"	2	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	"Gastric ulcer, acute with perforation"	"K25.1"	2	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	"Gastric ulcer, chronic or unspecified with haemorrhage"	"K25.4"	54	83256835	0.1
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	"Gastric ulcer, chronic or unspecified with perforation"	"K25.5"	40	83256835	0.0
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	"Gastric ulcer, chronic or unspecified with both haemorrhage and perforation"	"K25.6"	4	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	"Gastric ulcer, unspecified as acute or chronic, without haemorrhage or perforation"	"K25.9"	16	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	"Duodenal ulcer, chronic or unspecified with haemorrhage"	"K26.4"	33	83256835	0.0
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	"Duodenal ulcer, chronic or unspecified with perforation"	"K26.5"	61	83256835	0.1
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	"Duodenal ulcer, chronic or unspecified with both haemorrhage and perforation"	"K26.6"	9	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	"Duodenal ulcer, unspecified as acute or chronic, without haemorrhage or perforation"	"K26.9"	10	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	"Peptic ulcer, site unspecified, chronic or unspecified with haemorrhage"	"K27.4"	25	83256835	0.0
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	"Peptic ulcer, site unspecified, chronic or unspecified with perforation"	"K27.5"	19	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	"Peptic ulcer, site unspecified, chronic or unspecified with both haemorrhage and perforation"	"K27.6"	1	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	"Peptic ulcer, site unspecified, chronic without haemorrhage or perforation"	"K27.7"	1	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	"Peptic ulcer, site unspecified, unspecified as acute or chronic, without haemorrhage or perforation"	"K27.9"	11	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	"Gastrojejunal ulcer, chronic or unspecified with haemorrhage"	"K28.4"	2	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	"Gastrojejunal ulcer, unspecified as acute or chronic, without haemorrhage or perforation"	"K28.9"	3	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	"Other acute gastritis"	"K29.1"	1	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	"Alcoholic gastritis"	"K29.2"	11	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	"Other gastritis"	"K29.6"	14	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	"Gastritis, unspecified"	"K29.7"	6	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	"Duodenitis"	"K29.8"	2	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	"Dyspepsia"	"K30"	2	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	"Adult hypertrophic pyloric stenosis"	"K31.1"	3	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	"Fistula of stomach and duodenum"	"K31.6"	3	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	"Polyp of stomach and duodenum"	"K31.7"	1	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	"Other specified diseases of stomach and duodenum"	"K31.8"	37	83256835	0.0
	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"	"Disease of stomach and duodenum, unspecified"	"K31.9"	32	83256835	0.0
"Total"	"Diseases of the digestive system"	"K00-K92"	"Diseases of oesophagus, stomach and duodenum"	"K20-K31"			535	83256835	0.6
	"Diseases of the digestive system"	"K00-K92"	"Diseases of appendix"	"K35-K38"	"Acute appendicitis with generalized peritonitis"	"K35.2"	9	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of appendix"	"K35-K38"	"Acute appendicitis with localized peritonitis"	"K35.3"	3	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of appendix"	"K35-K38"	"Acute appendicitis, other and unspecified"	"K35.8"	31	83256835	0.0
	"Diseases of the digestive system"	"K00-K92"	"Diseases of appendix"	"K35-K38"	"Unspecified appendicitis"	"K37"	12	83256835	Unreliable
"Total"	"Diseases of the digestive system"	"K00-K92"	"Diseases of appendix"	"K35-K38"			55	83256835	0.1
	"Diseases of the digestive system"	"K00-K92"	"Hernia"	"K40-K46"	"Unilateral or unspecified inguinal hernia, with obstruction, without gangrene"	"K40.3"	4	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Hernia"	"K40-K46"	"Unilateral or unspecified inguinal hernia, without obstruction or gangrene"	"K40.9"	6	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Hernia"	"K40-K46"	"Umbilical hernia with obstruction, without gangrene"	"K42.0"	16	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Hernia"	"K40-K46"	"Umbilical hernia without obstruction or gangrene"	"K42.9"	4	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Hernia"	"K40-K46"	"Ventral hernia with obstruction, without gangrene"	"K43.0"	14	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Hernia"	"K40-K46"	"Ventral hernia with gangrene"	"K43.1"	2	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Hernia"	"K40-K46"	"Ventral hernia without obstruction or gangrene"	"K43.9"	15	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Hernia"	"K40-K46"	"Diaphragmatic hernia with obstruction, without gangrene"	"K44.0"	3	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Hernia"	"K40-K46"	"Diaphragmatic hernia without obstruction or gangrene"	"K44.9"	9	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Hernia"	"K40-K46"	"Unspecified abdominal hernia with obstruction, without gangrene"	"K46.0"	29	83256835	0.0
	"Diseases of the digestive system"	"K00-K92"	"Hernia"	"K40-K46"	"Unspecified abdominal hernia with gangrene"	"K46.1"	2	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Hernia"	"K40-K46"	"Unspecified abdominal hernia without obstruction or gangrene"	"K46.9"	24	83256835	0.0
"Total"	"Diseases of the digestive system"	"K00-K92"	"Hernia"	"K40-K46"			128	83256835	0.2
	"Diseases of the digestive system"	"K00-K92"	"Noninfective enteritis and colitis"	"K50-K52"	"Crohn disease of small intestine"	"K50.0"	1	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Noninfective enteritis and colitis"	"K50-K52"	"Crohn disease of large intestine"	"K50.1"	2	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Noninfective enteritis and colitis"	"K50-K52"	"Crohn disease, unspecified"	"K50.9"	99	83256835	0.1
	"Diseases of the digestive system"	"K00-K92"	"Noninfective enteritis and colitis"	"K50-K52"	"Ulcerative (chronic) enterocolitis"	"K51.0"	1	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Noninfective enteritis and colitis"	"K50-K52"	"Ulcerative colitis, unspecified"	"K51.9"	26	83256835	0.0
	"Diseases of the digestive system"	"K00-K92"	"Noninfective enteritis and colitis"	"K50-K52"	"Other specified noninfective gastroenteritis and colitis"	"K52.8"	1	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Noninfective enteritis and colitis"	"K50-K52"	"Noninfective gastroenteritis and colitis, unspecified"	"K52.9"	13	83256835	Unreliable
"Total"	"Diseases of the digestive system"	"K00-K92"	"Noninfective enteritis and colitis"	"K50-K52"			143	83256835	0.2
	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	"Acute vascular disorders of intestine"	"K55.0"	95	83256835	0.1
	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	"Chronic vascular disorders of intestine"	"K55.1"	11	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	"Vascular disorder of intestine, unspecified"	"K55.9"	323	83256835	0.4
	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	"Intussusception"	"K56.1"	5	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	"Volvulus"	"K56.2"	31	83256835	0.0
	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	"Gallstone ileus"	"K56.3"	1	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	"Other impaction of intestine"	"K56.4"	13	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	"Intestinal adhesions [bands] with obstruction"	"K56.5"	16	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	"Other and unspecified intestinal obstruction"	"K56.6"	152	83256835	0.2
	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	"Ileus, unspecified"	"K56.7"	21	83256835	0.0
	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	"Diverticular disease of large intestine with perforation and abscess"	"K57.2"	11	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	"Diverticular disease of large intestine without perforation or abscess"	"K57.3"	6	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	"Diverticular disease of intestine, part unspecified, with perforation and abscess"	"K57.8"	47	83256835	0.1
	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	"Diverticular disease of intestine, part unspecified, without perforation or abscess"	"K57.9"	34	83256835	0.0
	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	"Constipation"	"K59.0"	12	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	"Neurogenic bowel, not elsewhere classified"	"K59.2"	2	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	"Megacolon, not elsewhere classified"	"K59.3"	18	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	"Other specified functional intestinal disorders"	"K59.8"	3	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	"Functional intestinal disorder, unspecified"	"K59.9"	1	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	"Rectal fistula"	"K60.4"	2	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	"Anal abscess"	"K61.0"	3	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	"Rectal abscess"	"K61.1"	7	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	"Rectal prolapse"	"K62.3"	1	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	"Haemorrhage of anus and rectum"	"K62.5"	5	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	"Disease of anus and rectum, unspecified"	"K62.9"	1	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	"Abscess of intestine"	"K63.0"	1	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	"Perforation of intestine (nontraumatic)"	"K63.1"	157	83256835	0.2
	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	"Fistula of intestine"	"K63.2"	15	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	"Ulcer of intestine"	"K63.3"	2	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	"Enteroptosis"	"K63.4"	1	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	"Polyp of colon"	"K63.5"	1	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	"Other specified diseases of intestine"	"K63.8"	9	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"	"Disease of intestine, unspecified"	"K63.9"	26	83256835	0.0
"Total"	"Diseases of the digestive system"	"K00-K92"	"Other diseases of intestines"	"K55-K63"			1033	83256835	1.2
	"Diseases of the digestive system"	"K00-K92"	"Diseases of peritoneum"	"K65-K66"	"Acute peritonitis"	"K65.0"	142	83256835	0.2
	"Diseases of the digestive system"	"K00-K92"	"Diseases of peritoneum"	"K65-K66"	"Other peritonitis"	"K65.8"	1	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of peritoneum"	"K65-K66"	"Peritonitis, unspecified"	"K65.9"	76	83256835	0.1
	"Diseases of the digestive system"	"K00-K92"	"Diseases of peritoneum"	"K65-K66"	"Peritoneal adhesions"	"K66.0"	8	83256835	Unreliable
	"Diseases of the digestive system"	"K00-K92"	"Diseases of peritoneum"	"K65-K66"	"Haemoperitoneum"	"K66.1"	35	83256835	0.0
